domain,category
backend-v2.crixet.com,ru-ip-blocked
bell-sw.com,ru-ip-blocked
bestbuy.com,ru-ip-blocked
bitdefender.com,ru-ip-blocked
bitnami.com,ru-ip-blocked
blinkshot.io,ru-ip-blocked
bosch.com,ru-ip-blocked
boschaftermarket.com,ru-ip-blocked
boschautoparts.com,ru-ip-blocked
brawlstarsgame.com,ru-ip-blocked
broadcom.com,ru-ip-blocked
broncosportforum.com,ru-ip-blocked
btod.com,ru-ip-blocked
buanzo.org,ru-ip-blocked
buf.build,ru-ip-blocked
builds.parsec.app,ru-ip-blocked
buymeacoffee.com,ru-ip-blocked
canva.com,ru-ip-blocked
canva.dev,ru-ip-blocked
capacitorjs.com,ru-ip-blocked
carrefouruae.com,ru-ip-blocked
cats.com,ru-ip-blocked
cdn.web-platform.io,ru-ip-blocked
cdromance.org,ru-ip-blocked
cdw.com,ru-ip-blocked
chainreactioncycles.com,ru-ip-blocked
chaos.com,ru-ip-blocked
chat.com,ru-ip-blocked
chat.openai.com.cdn.cloudflare.net,ru-ip-blocked
cisco.com,ru-ip-blocked
cisecurity.org,ru-ip-blocked
citrix.com,ru-ip-blocked
clamav.net,ru-ip-blocked
clashofclans.com,ru-ip-blocked
clashroyaleapp.com,ru-ip-blocked
clevelandclinic.org,ru-ip-blocked
clickup.com,ru-ip-blocked
clip.opus.pro,ru-ip-blocked
code.gist.build,ru-ip-blocked
codeium.com,ru-ip-blocked
coingate.com,ru-ip-blocked
community.sophos.com,ru-ip-blocked
connect.ngrok-agent.com,ru-ip-blocked
contabo.com,ru-ip-blocked
copilot.microsoft.com,ru-ip-blocked
corsair.com,ru-ip-blocked
cpu-monkey.com,ru-ip-blocked
credly.com,ru-ip-blocked
crunchyroll.com,ru-ip-blocked
cvedetails.com,ru-ip-blocked
daemon-tools.cc,ru-ip-blocked
dashboard.algolia.com,ru-ip-blocked
dashboard.gitguardian.com,ru-ip-blocked
data-cdn.mbamupdates.com,ru-ip-blocked
data.cline.bot,ru-ip-blocked
deepl.com,ru-ip-blocked
deezer.com,ru-ip-blocked
dell.com,ru-ip-blocked
dellcdn.com,ru-ip-blocked
designer.microsoft.com,ru-ip-blocked
developer.nvidia.com,ru-ip-blocked
devexpress.com,ru-ip-blocked
diabrowser.com,ru-ip-blocked
digitalcontent.sky,ru-ip-blocked
disctech.com,ru-ip-blocked
disneyplus.com,ru-ip-blocked
docs.liquibase.com,ru-ip-blocked
document360.com,ru-ip-blocked
document360.io,ru-ip-blocked
download3.omnissa.com,ru-ip-blocked
downloads.intercomcdn.com,ru-ip-blocked
ducati.com,ru-ip-blocked
dyson.com,ru-ip-blocked
easydmarc.com,ru-ip-blocked
editorx.com,ru-ip-blocked
elevenlabs.io,ru-ip-blocked
eneba.com,ru-ip-blocked
etsy.com,ru-ip-blocked
exchanger.bits.media,ru-ip-blocked
expandrive.com,ru-ip-blocked
extremetech.com,ru-ip-blocked
f1.com,ru-ip-blocked
fast.com,ru-ip-blocked
filebin.net,ru-ip-blocked
files.manus.cdn,ru-ip-blocked
fivetran.com,ru-ip-blocked
flir.com,ru-ip-blocked
flir.eu,ru-ip-blocked
flourish.studio,ru-ip-blocked
fluke.com,ru-ip-blocked
flukenetworks.com,ru-ip-blocked
flyertalk.com,ru-ip-blocked
footballapi.pulselive.com,ru-ip-blocked
force-user-content.com,ru-ip-blocked
force.com,ru-ip-blocked
formula1.com,ru-ip-blocked
forum.netgate.com,ru-ip-blocked
framer.com,ru-ip-blocked
freeimages.com,ru-ip-blocked
fxnetworks.com,ru-ip-blocked
g2a.com,ru-ip-blocked
gamestop.com,ru-ip-blocked
gaming.amazon.com,ru-ip-blocked
geforcenow.com,ru-ip-blocked
genspark.ai,ru-ip-blocked
geolocation.onetrust.com,ru-ip-blocked
getoutline.com,ru-ip-blocked
gfn.am,ru-ip-blocked
ghostrc.game.idtech.services,ru-ip-blocked
global.fncstatic.com,ru-ip-blocked
glpals.com,ru-ip-blocked
gofund.me,ru-ip-blocked
gofundme.com,ru-ip-blocked
gonift.com,ru-ip-blocked
gpsonextra.net,ru-ip-blocked
gpu-monkey.com,ru-ip-blocked
gql.twitch.tv,ru-ip-blocked
grafana.com,ru-ip-blocked
graylog.org,ru-ip-blocked
grizzlysms.com,ru-ip-blocked
grok.x.com,ru-ip-blocked
groq.com,ru-ip-blocked
groupon.com,ru-ip-blocked
guilded.gg,ru-ip-blocked
habr.com,ru-ip-blocked
hashicorp.com,ru-ip-blocked
haydaygame.com,ru-ip-blocked
hbomax.com,ru-ip-blocked
hc-ping.com,ru-ip-blocked
hchk.io,ru-ip-blocked
healthline.com,ru-ip-blocked
herokucdn.com,ru-ip-blocked
hollisterco.com,ru-ip-blocked
home-connect.com,ru-ip-blocked
home.by.me,ru-ip-blocked
hostinger.com,ru-ip-blocked
hotels.com,ru-ip-blocked
housebrand.com,ru-ip-blocked
htmhell.dev,ru-ip-blocked
httptoolkit.com,ru-ip-blocked
hume.ai,ru-ip-blocked
hybrid-analysis.com,ru-ip-blocked
ibm.com,ru-ip-blocked
iherb.com,ru-ip-blocked
ikea.com,ru-ip-blocked
image.tmdb.org,ru-ip-blocked
imgur.com,ru-ip-blocked
indeed.com,ru-ip-blocked
install.launcher.omniverse.nvidia.com,ru-ip-blocked
intel.com,ru-ip-blocked
intel.de,ru-ip-blocked
intel.nl,ru-ip-blocked
intelix.sophos.com,ru-ip-blocked
intercom.io,ru-ip-blocked
intuit.com,ru-ip-blocked
intuitibits.com,ru-ip-blocked
itninja.com,ru-ip-blocked
jamf.com,ru-ip-blocked
jetbrains.com,ru-ip-blocked
jetbrains.space,ru-ip-blocked
joesandbox.com,ru-ip-blocked
kaleido.ai,ru-ip-blocked
keysight.com,ru-ip-blocked
kinogo.la,ru-ip-blocked
klarna.com,ru-ip-blocked
kmail-lists.com,ru-ip-blocked
lambdalabs.com,ru-ip-blocked
langdock.com,ru-ip-blocked
last.fm,ru-ip-blocked
ldoceonline.com,ru-ip-blocked
legalshield.com,ru-ip-blocked
lgeapi.com,ru-ip-blocked
lgthinq.com,ru-ip-blocked
lidarr.audio,ru-ip-blocked
lifehacker.com,ru-ip-blocked
lightning.ai,ru-ip-blocked
lookerstudio.google.com,ru-ip-blocked
lyst.com,ru-ip-blocked
mailerlite.com,ru-ip-blocked
mailinator.com,ru-ip-blocked
manus.im,ru-ip-blocked
manybooks.net,ru-ip-blocked
marvelsnap.com,ru-ip-blocked
mattermost.com,ru-ip-blocked
max.com,ru-ip-blocked
medicalnewstoday.com,ru-ip-blocked
meetup.com,ru-ip-blocked
metopera.org,ru-ip-blocked
middlewareinventory.com,ru-ip-blocked
mintmobile.com,ru-ip-blocked
miracleptr.wordpress.com,ru-ip-blocked
mixcloud.com,ru-ip-blocked
mongodb.com,ru-ip-blocked
monoprice.com,ru-ip-blocked
mouser.com,ru-ip-blocked
mouser.fi,ru-ip-blocked
mssg.me,ru-ip-blocked
multisim.com,ru-ip-blocked
myheritage.com,ru-ip-blocked
myjetbrains.com,ru-ip-blocked
